scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,notes
baseline,current,2024,0.0100,0.0003,0.0000,1.00,20.0,100.0,0.00,CLIMADA+IPCC,Current climate baseline
climada_rcp45_2030,RCP45,2030,0.0106,0.0003,0.0000,1.00,0.0,100.0,0.09,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp45_2040,RCP45,2040,0.0116,0.0003,0.0140,1.07,0.0,100.0,0.14,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp45_2050,RCP45,2050,0.0126,0.0003,0.0190,1.10,0.0,100.0,0.19,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp45_2060,RCP45,2060,0.0136,0.0004,0.0240,1.12,0.0,100.0,0.24,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp85_2030,RCP85,2030,0.0127,0.0003,0.0100,1.05,0.0,100.0,0.10,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp85_2040,RCP85,2040,0.0139,0.0004,0.0175,1.09,0.0,100.0,0.17,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp85_2050,RCP85,2050,0.0151,0.0004,0.0250,1.13,0.0,100.0,0.25,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
climada_rcp85_2060,RCP85,2060,0.0163,0.0007,0.0326,1.17,0.0,100.0,0.33,CLIMADA RiverFlood + IPCC AR6,Automated CLIMADA extraction
