Scenario,NPV ($M),DSCR,Rating,CRP (bps),Avg CF,Revenue ($M),Outage Loss ($M),Carbon Cost ($M)
baseline,-2978.0,0.64,6,0.0,96.7,62502.0,887.0,43609.0
moderate_transition,-11481.0,-2.12,6,4165.0,88.8,49653.0,705.0,84460.0
aggressive_transition,-12695.0,-3.66,6,4759.0,67.8,26256.0,373.0,51589.0
moderate_physical,-3027.0,0.62,6,24.0,95.4,61149.0,1419.0,42665.0
high_physical,-3065.0,0.61,6,43.0,94.8,60114.0,2037.0,41942.0
combined_moderate,-11346.0,-2.08,6,4099.0,87.7,48578.0,1127.0,82631.0
combined_aggressive,-12409.0,-3.53,6,4619.0,66.5,25253.0,856.0,49617.0
low_demand,-4013.0,0.21,6,507.0,70.3,37536.0,533.0,28965.0
severe_drought,-4092.0,0.18,6,546.0,50.0,29433.0,3270.0,20123.0
