year,scenario,wildfire_multiplier,flood_multiplier,slr_meters,compound_multiplier,source
2024,Baseline,1.0,1.0,0.00,1.00,Current conditions (no climate change applied)
2030,RCP4.5,1.2,1.0,0.10,1.00,IPCC AR6 - moderate emissions scenario
2040,RCP4.5,1.5,1.03,0.19,1.00,IPCC AR6 - moderate emissions scenario
2050,RCP4.5,1.5,1.07,0.19,1.05,IPCC AR6 - moderate emissions scenario
2060,RCP4.5,2.0,1.10,0.19,1.05,IPCC AR6 - moderate emissions scenario
2030,RCP8.5,1.3,1.0,0.10,1.05,IPCC AR6 - high emissions scenario
2040,RCP8.5,2.0,1.03,0.25,1.05,IPCC AR6 - high emissions scenario
2050,RCP8.5,2.0,1.07,0.25,1.10,IPCC AR6 - high emissions scenario
2060,RCP8.5,4.0,1.15,0.73,1.15,IPCC AR6 - high emissions scenario
