year,scenario,wildfire_rate,flood_rate,slr_derate,compound_mult,total_outage,total_derate,cf_reduction_decimal,cf_reduction_percent,downtime_hours_per_year,formula_notes
2024,Baseline,0.00055,0.00003,0.00000,1.00,0.00058,0.00000,0.000580,0.058%,5.1,total_outage = (wildfire + flood) × compound; hours = cf_reduction × 8760
2030,RCP4.5,0.00066,0.00003,0.00022,1.00,0.00069,0.00022,0.000910,0.091%,8.0,total_outage = (0.00066 + 0.00003) × 1.00 = 0.00069
2040,RCP4.5,0.000825,0.0000309,0.000418,1.00,0.000856,0.000418,0.001274,0.127%,11.2,Interpolated values
2050,RCP4.5,0.000825,0.0000321,0.000418,1.05,0.000900,0.000439,0.001338,0.134%,11.7,compound_mult = 1.05
2060,RCP4.5,0.0011,0.0000330,0.000418,1.05,0.001190,0.000439,0.001628,0.163%,14.3,wildfire_mult = 2.0
2030,RCP8.5,0.000715,0.00003,0.00022,1.05,0.000783,0.000231,0.001014,0.101%,8.9,compound_mult = 1.05 for RCP8.5
2040,RCP8.5,0.0011,0.0000309,0.00055,1.05,0.001187,0.000578,0.001764,0.176%,15.4,Interpolated values
2050,RCP8.5,0.0011,0.0000321,0.00055,1.10,0.001245,0.000605,0.001849,0.185%,16.2,compound_mult = 1.10
2060,RCP8.5,0.0022,0.0000345,0.001606,1.15,0.002570,0.001847,0.004412,0.441%,38.6,Extreme scenario: 4x wildfire + 0.73m SLR
