scenario,overall_rating,rating_numeric,spread_bps,capacity_rating,profitability_rating,coverage_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,net_debt_to_ebitda,debt_to_equity,debt_to_assets
baseline,A,3,150,AAA,AAA,A,AA,A,BBB,2100.0,17.469841859810426,4.091297859440381,3.9069051890524444,233.33333333333334,70.0
moderate_transition,B,6,600,AAA,B,B,B,A,BBB,2100.0,-5.888029910260343,-1.3789297213724456,999.0,233.33333333333334,70.0
aggressive_transition,B,6,600,AAA,B,B,B,A,BBB,2100.0,-14.643344102828642,-3.4293545908263803,999.0,233.33333333333334,70.0
moderate_physical,A,3,150,AAA,AA,BBB,A,A,BBB,2100.0,14.406015154559345,3.3737740408804084,4.759081380172349,233.33333333333334,70.0
high_physical,A,3,150,AAA,AA,BBB,A,A,BBB,2100.0,12.001016223496647,2.8105424410999174,5.7328393776310245,233.33333333333334,70.0
combined_moderate,B,6,600,AAA,B,B,B,A,BBB,2100.0,-6.925071377518406,-1.6217965755312425,999.0,233.33333333333334,70.0
combined_aggressive,B,6,600,AAA,B,B,B,A,BBB,2100.0,-15.226628732868864,-3.565955206760858,999.0,233.33333333333334,70.0
low_demand,BBB,4,250,AAA,A,BB,BBB,A,BBB,2100.0,8.110535662015957,1.8994228716665003,8.530749301532666,233.33333333333334,70.0
severe_drought,BBB,4,250,AAA,BBB,BB,BB,A,BBB,2100.0,6.832299227641749,1.6000700767310885,10.145452909439003,233.33333333333334,70.0
