scenario,npv_million,irr_pct,avg_dscr,min_dscr,llcr,payback_years,overall_rating,rating_numeric,spread_bps,capacity_rating,profitability_rating,coverage_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,net_debt_to_ebitda,debt_to_equity,debt_to_assets,expected_loss_pct,npv_loss_million,debt_spread_bps,equity_premium_pct,crp_bps,wacc_baseline_pct,wacc_adjusted_pct
baseline,2898.316933163128,11.702740719047377,2.095271313526216,1.8078878521900137,2.1611030655413437,10.0,A,3,150,AAA,AAA,A,AA,A,BBB,2100.0,17.469841859810426,4.091297859440381,3.9069051890524444,233.33333333333334,70.0,,,,,,,
moderate_transition,-4380.676613011034,0.0,0.09808544670982636,-1.392572446338055,0.3859215275267155,,B,6,600,AAA,B,B,B,A,BBB,2100.0,-5.888029910260343,-1.3789297213724456,999.0,233.33333333333334,70.0,148.55088869743187,7278.993546174162,600.0,118.8407109579455,3880.221328738365,6.75,45.55221328738365
aggressive_transition,-7964.2903184878405,0.0,-1.6079209516183148,-4.366065649610048,-1.1795208668432102,,B,6,600,AAA,B,B,B,A,BBB,2100.0,-14.643344102828642,-3.4293545908263803,999.0,233.33333333333334,70.0,221.6858622785912,10862.607251650968,600.0,177.34868982287298,5635.460694686189,6.75,63.104606946861885
moderate_physical,1718.0410231437331,10.043352736371247,1.7929850085641934,1.5845799042412394,1.8650174390450895,11.0,A,3,150,AAA,AA,BBB,A,A,BBB,2100.0,14.406015154559345,3.3737740408804084,4.759081380172349,233.33333333333334,70.0,24.08726346978357,1180.2759100193948,150.0,19.269810775826855,578.0943232748057,6.75,12.530943232748056
high_physical,738.0591399085179,8.55325175956163,1.534742900847409,1.4196907345554988,1.609383009612795,12.0,A,3,150,AAA,AA,BBB,A,A,BBB,2100.0,12.001016223496647,2.8105424410999174,5.7328393776310245,233.33333333333334,70.0,44.08689373989,2160.25779325461,150.0,35.269514991912004,1058.08544975736,6.75,17.3308544975736
combined_moderate,-5001.670361130603,0.0,-0.13200922166204648,-1.5998362010060605,0.13816569171179105,,B,6,600,AAA,B,B,B,A,BBB,2100.0,-6.925071377518406,-1.6217965755312425,999.0,233.33333333333334,70.0,161.2242304957904,7899.987294293731,600.0,128.97938439663233,4184.381531898969,6.75,48.59381531898969
combined_aggressive,-8410.615215104168,0.0,-1.7578253606637084,-4.320151352316534,-1.3755287025897207,,B,6,600,AAA,B,B,B,A,BBB,2100.0,-15.226628732868864,-3.565955206760858,999.0,233.33333333333334,70.0,230.79453363810808,11308.932148267297,600.0,184.63562691048648,5854.068807314595,6.75,65.29068807314596
low_demand,324.7425056496696,7.861748665892199,1.4654256939614851,1.1273156504554687,1.6276137075390276,11.0,BBB,4,250,AAA,A,BB,BBB,A,BBB,2100.0,8.110535662015957,1.8994228716665003,8.530749301532666,233.33333333333334,70.0,52.5219270921114,2573.5744275134584,250.0,42.017541673689124,1330.5262502106739,6.75,20.05526250210674
severe_drought,-1501.0548872533127,4.706286332312759,0.9358865612064058,0.8393584771763731,0.9763962311552853,19.0,BBB,4,250,AAA,BBB,BB,BB,A,BBB,2100.0,6.832299227641749,1.6000700767310885,10.145452909439003,233.33333333333334,70.0,89.78309837584574,4399.371820416441,250.0,71.82647870067659,2224.7943610202974,6.75,28.997943610202974
