hazard,database,data_period,location_lat,location_lon,events_at_location,total_events,max_intensity,intensity_unit,years_covered,query_date,status
wildfire,NASA FIRMS (MODIS),2001-2020,37.4404,129.1671,6,20,310.4,MW_FRP,20,2024-12-29,API_OUTPUT
tropical_cyclone,IBTrACS (NOAA/WMO),1980-2020,37.4404,129.1671,15,3890,48.8,m_per_s,40,2024-12-29,API_OUTPUT
tropical_cyclone_damaging,IBTrACS (>30 m/s),1980-2020,37.4404,129.1671,5,NA,48.8,m_per_s,40,2024-12-29,API_OUTPUT
river_flood_historical,ISIMIP,1980-2000,37.4404,129.1671,0,920,0.0,m_depth,20,2024-12-29,API_OUTPUT
river_flood_rcp26,ISIMIP RCP2.6,2030-2050,37.4404,129.1671,0,480,0.0,m_depth,20,2024-12-29,API_OUTPUT
river_flood_rcp60,ISIMIP RCP6.0,2030-2050,37.4404,129.1671,0,480,0.0,m_depth,20,2024-12-29,API_OUTPUT
river_flood_rcp85,ISIMIP RCP8.5,2030-2050,37.4404,129.1671,0,480,0.0,m_depth,20,2024-12-29,API_OUTPUT
river_flood_rcp85_mid,ISIMIP RCP8.5,2050-2070,37.4404,129.1671,0,480,0.0,m_depth,20,2024-12-29,API_OUTPUT
river_flood_rcp85_late,ISIMIP RCP8.5,2070-2090,37.4404,129.1671,0,480,0.0,m_depth,20,2024-12-29,API_OUTPUT
