year,scenario,wildfire_base_pct,wildfire_factor,wildfire_projected_pct,wildfire_status,tc_base_pct,tc_factor,tc_projected_pct,tc_status,flood_pct,temp_delta_c,temp_mean_derate_pct,temp_heatwave_pct,temp_total_pct,slr_m,total_acute_pct,total_chronic_pct,total_risk_pct
2024,RCP8.5,0.000082,1.00,0.000082,ASSUMPTION,0.000205,1.00,0.000205,ASSUMPTION,0.000000,0.00,0.000000,0.000548,0.000548,0.00,0.000288,0.000548,0.000836
2030,RCP8.5,0.000082,2.00,0.000164,ASSUMPTION,0.000205,1.05,0.000216,ASSUMPTION,0.000000,1.00,0.001864,0.000655,0.002519,0.06,0.000380,0.002519,0.002899
2050,RCP8.5,0.000082,2.00,0.000164,VERIFIED,0.000205,1.10,0.000226,DERIVED,0.000000,2.00,0.003728,0.001013,0.004741,0.18,0.000390,0.004741,0.005131
2100,RCP8.5,0.000082,4.00,0.000329,VERIFIED,0.000205,1.10,0.000226,ASSUMPTION,0.000000,4.73,0.008817,0.001907,0.010724,0.63,0.000555,0.010724,0.011278
