Scenario,NPV ($M),DSCR,Rating,CRP (bps),Avg CF,Revenue ($M),Outage Loss ($M),Carbon Cost ($M)
baseline,-2992.0,0.64,6,0.0,96.7,62122.0,1268.0,43344.0
moderate_transition,-11443.0,-2.1,6,4139.0,88.8,49351.0,1007.0,83946.0
aggressive_transition,-12649.0,-3.64,6,4730.0,67.8,26096.0,533.0,51275.0
moderate_physical,-3053.0,0.61,6,30.0,95.6,60448.0,2257.0,42176.0
high_physical,-3106.0,0.59,6,56.0,95.1,58995.0,3368.0,41162.0
combined_moderate,-11276.0,-2.06,6,4057.0,87.9,48021.0,1793.0,81683.0
combined_aggressive,-12275.0,-3.47,6,4547.0,66.7,24783.0,1415.0,48694.0
low_demand,-4021.0,0.21,6,504.0,70.3,37308.0,761.0,28789.0
severe_drought,-4092.0,0.18,6,539.0,50.0,29433.0,3270.0,20123.0
