year,scenario,wildfire_pct,tc_pct,flood_pct,temp_derate_pct,slr_m,total_pct,status,notes
2024,RCP8.5,0.0082,0.0205,0.0000,0.0548,0.00,0.0836,BASELINE,"Base rates from CLIMADA API"
2030,RCP8.5,0.0164,0.0215,0.0000,0.2575,0.06,0.2955,DERIVED,"Climate factors and temp are interpolated/assumed"
2050,RCP8.5,0.0164,0.0226,0.0000,0.4373,0.18,0.4763,MIXED,"Wildfire factor verified; temp/TC/SLR derived"
2100,RCP8.5,0.0329,0.0226,0.0000,1.0988,0.63,1.1543,MIXED,"Wildfire 4x and SLR verified; TC factor conservative"
