year,scenario,wildfire_base,wildfire_factor,wildfire_projected,tc_base,tc_factor,tc_projected,flood_rate,temp_delta_c,temp_derate,heat_wave_derate,temp_total,slr_m,total_acute,total_chronic,total_physical_risk,verification_status
2024,RCP8.5,0.008219%,1.00,0.008219%,0.020548%,1.00,0.020548%,0.000000%,0.00,0.0000%,0.0548%,0.0548%,0.00,0.0288%,0.0548%,0.0836%,DERIVED
2030,RCP8.5,0.008219%,2.00,0.016438%,0.020548%,1.05,0.021575%,0.000000%,1.00,0.1920%,0.0655%,0.2575%,0.06,0.0380%,0.2575%,0.2955%,DERIVED
2050,RCP8.5,0.008219%,2.00,0.016438%,0.020548%,1.10,0.022603%,0.000000%,1.75,0.3360%,0.1013%,0.4373%,0.18,0.0390%,0.4373%,0.4763%,VERIFIED
2100,RCP8.5,0.008219%,4.00,0.032877%,0.020548%,1.10,0.022603%,0.000000%,4.73,0.9082%,0.1907%,1.0988%,0.63,0.0555%,1.0988%,1.1543%,VERIFIED
