scenario,rcp,year,wildfire_rate,flood_rate,tc_rate,slr_derate,compound,total_outage,total_derate,cf_reduction,source
baseline,current,2024,0.000550,0.000030,0.000205,0.000000,1.00,0.000785,0.000000,0.000785,Literature+CLIMADA
rcp45_2030,RCP4.5,2030,0.000660,0.000033,0.000215,0.000110,1.00,0.000908,0.000110,0.001017,Verified
rcp45_2050,RCP4.5,2050,0.000825,0.000038,0.000226,0.000264,1.00,0.001088,0.000264,0.001349,Verified
rcp45_2100,RCP4.5,2100,0.001100,0.000045,0.000236,0.000550,1.00,0.001381,0.000550,0.001924,Verified
rcp85_2030,RCP8.5,2030,0.000715,0.000039,0.000221,0.000132,1.00,0.000975,0.000132,0.001106,Verified
rcp85_2050,RCP8.5,2050,0.001100,0.000044,0.000236,0.000396,1.00,0.001380,0.000396,0.001770,Verified
rcp85_2100,RCP8.5,2100,0.002200,0.000079,0.000256,0.001386,1.00,0.002536,0.001386,0.003887,Verified
